run_id,task_id,arm,model,tool_version,site,start_url,success,failure_category,wall_clock_s,reset_s,setup_s,agent_s,model_turns,actions_or_tool_calls,input_tokens,output_tokens,cached_tokens,cache_write_tokens,caching,est_cost_usd,cost_estimated,snapshot_source,stop_reason,refusal,truncated,effort,retries,retry_wait_ms,budget_exhausted,temperature,perturbation_id,spec_shape,rescored,source,timestamp
lh-1_code-openai_55b3d6b1-70f9-4f51-a81d-71eaa0ac7cb4,lh-1,code-openai,gpt-6-astra,exec_js,learnhouse,http://127.0.0.1:3215,true,,32.422,14.466,3.058,14.898,5,9,303,247,1883,8084,provider-managed,0.118313,,provider-response,,false,false,medium,0,0,false,default,none,none,,,2026-09-05T23:50:37.535Z
lh-1_code-openai_e80c9c06-5d58-425a-8a43-d3e4b2517a91,lh-1,code-openai,gpt-6-astra,exec_js,learnhouse,http://127.0.0.1:3215,true,,29.483,14.509,2.953,12.021,5,9,303,242,1882,8077,provider-managed,0.1179745,,provider-response,,false,false,medium,0,0,false,default,none,none,,,2026-09-05T23:51:07.069Z
lh-1_code-openai_fbb75050-b4e7-4d25-a683-4170bd3f7a9c,lh-1,code-openai,gpt-6-astra,exec_js,learnhouse,http://127.0.0.1:3215,true,,29.782,14.584,2.955,12.243,5,9,303,240,3429,6529,provider-managed,0.1000715,,provider-response,,false,false,medium,0,0,false,default,none,none,,,2026-09-05T23:51:36.899Z
lh-2_code-openai_f7cdc3ad-dae9-49c9-9e94-308b6ec78d6b,lh-2,code-openai,gpt-6-astra,exec_js,learnhouse,http://127.0.0.1:3215,true,,29.823,14.436,2.962,12.425,4,7,301,176,0,8728,provider-managed,0.12091,,provider-response,,false,false,medium,0,0,false,default,none,none,,,2026-09-05T23:52:06.773Z
lh-2_code-openai_ba2e9dd8-3556-4c89-ad8b-90705696da72,lh-2,code-openai,gpt-6-astra,exec_js,learnhouse,http://127.0.0.1:3215,true,,27.278,14.565,2.933,9.779,4,7,301,171,1534,7108,provider-managed,0.101944,,provider-response,,false,false,medium,0,0,false,default,none,none,,,2026-09-05T23:52:34.102Z
lh-2_code-openai_7830f982-6bc5-4019-a622-eecf1543946b,lh-2,code-openai,gpt-6-astra,exec_js,learnhouse,http://127.0.0.1:3215,true,,25.556,14.519,2.932,8.105,3,5,298,119,1534,2959,provider-managed,0.0474515,,provider-response,,false,false,medium,0,0,false,default,none,none,,,2026-09-05T23:52:59.705Z
lh-3_code-openai_3b0937f4-d1ca-4f16-8d46-fc01a16be3c2,lh-3,code-openai,gpt-6-astra,exec_js,learnhouse,http://127.0.0.1:3215,true,,28.725,14.512,2.941,11.272,4,7,306,156,0,8568,provider-managed,0.11796,,provider-response,,false,false,medium,0,0,false,default,none,none,,,2026-09-05T23:53:28.479Z
lh-3_code-openai_df57897e-70e5-450c-800f-b6a637547548,lh-3,code-openai,gpt-6-astra,exec_js,learnhouse,http://127.0.0.1:3215,true,,26.939,14.593,2.939,9.407,4,7,306,155,0,8568,provider-managed,0.11791,,provider-response,,false,false,medium,0,0,false,default,none,none,,,2026-09-05T23:53:55.472Z
lh-3_code-openai_77d5fe33-f95d-4532-ab1e-4e5cb0ec3231,lh-3,code-openai,gpt-6-astra,exec_js,learnhouse,http://127.0.0.1:3215,true,,29.600,14.774,2.973,11.853,4,7,306,155,4347,4221,provider-managed,0.0679195,,provider-response,,false,false,medium,0,0,false,default,none,none,,,2026-09-05T23:54:25.125Z
lh-5_code-openai_310da213-da5b-46ec-8133-cb2c7d516741,lh-5,code-openai,gpt-6-astra,exec_js,learnhouse,http://127.0.0.1:3215,true,,32.980,14.713,2.966,15.301,5,9,308,243,1855,8040,provider-managed,0.117585,,provider-response,,false,false,medium,0,0,false,default,none,none,,,2026-09-05T23:54:58.158Z
lh-5_code-openai_85b1563c-715c-4fcf-81a5-115c5ce35310,lh-5,code-openai,gpt-6-astra,exec_js,learnhouse,http://127.0.0.1:3215,true,,31.722,14.619,2.934,14.169,5,9,308,251,1871,8094,provider-managed,0.118676,,provider-response,,false,false,medium,0,0,false,default,none,none,,,2026-09-05T23:55:29.932Z
lh-5_code-openai_3e6b7eae-2acd-451b-af53-c723775a9db1,lh-5,code-openai,gpt-6-astra,exec_js,learnhouse,http://127.0.0.1:3215,true,,67.740,14.501,2.923,50.316,6,11,311,274,1629,8768,provider-managed,0.128039,,provider-response,,false,false,medium,0,0,false,default,none,none,,,2026-09-05T23:56:37.724Z
lh-6_code-openai_b7fda7aa-fbc0-4bd0-9e12-4c608c343c7e,lh-6,code-openai,gpt-6-astra,exec_js,learnhouse,http://127.0.0.1:3215,true,,35.083,14.646,2.929,17.507,5,9,311,218,2149,8450,provider-managed,0.121784,,provider-response,,false,false,medium,0,0,false,default,none,none,,,2026-09-05T23:57:12.857Z
lh-6_code-openai_405e8836-b85a-4d96-a966-5803324d7523,lh-6,code-openai,gpt-6-astra,exec_js,learnhouse,http://127.0.0.1:3215,true,,63.060,14.533,2.941,45.585,6,11,314,277,1655,9078,provider-managed,0.13212,,provider-response,,false,false,medium,0,0,false,default,none,none,,,2026-09-05T23:58:15.973Z
lh-6_code-openai_1dec3ce4-2ab7-420c-b16e-0562f8296ab2,lh-6,code-openai,gpt-6-astra,exec_js,learnhouse,http://127.0.0.1:3215,true,,33.756,14.623,2.948,16.184,6,11,314,287,1941,9882,provider-managed,0.142956,,provider-response,,false,false,medium,0,0,false,default,none,none,,,2026-09-05T23:58:49.799Z
lh-7_code-openai_76d2bf55-d010-4fa4-9754-e84ce457463c,lh-7,code-openai,gpt-6-astra,exec_js,learnhouse,http://127.0.0.1:3215,true,,42.301,14.611,2.948,24.742,7,13,334,457,1813,17221,provider-managed,0.2432655,,provider-response,,false,false,medium,0,0,false,default,none,none,,,2026-09-05T23:59:32.151Z
lh-7_code-openai_85b908ba-49b2-4da0-bd1e-82b36d2175ca,lh-7,code-openai,gpt-6-astra,exec_js,learnhouse,http://127.0.0.1:3215,true,,44.915,14.579,2.959,27.376,8,15,337,431,5294,14268,provider-managed,0.208564,,provider-response,,false,false,medium,0,0,false,default,none,none,,,2026-09-06T00:00:17.115Z
lh-7_code-openai_b1544d18-107e-4d0b-8142-b626a4bcc004,lh-7,code-openai,gpt-6-astra,exec_js,learnhouse,http://127.0.0.1:3215,true,,42.310,14.652,2.962,24.696,8,15,337,444,3767,16037,provider-managed,0.2297995,,provider-response,,false,false,medium,0,0,false,default,none,none,,,2026-09-06T00:00:59.472Z
lh-8_code-openai_bf768e6a-b2fc-44fd-90db-ed92b4ee4d84,lh-8,code-openai,gpt-6-astra,exec_js,learnhouse,http://127.0.0.1:3215,true,,91.598,14.714,2.960,73.924,14,27,358,770,1785,46395,provider-managed,0.6238025,,provider-response,,false,false,medium,0,0,false,default,none,none,,,2026-09-06T00:02:31.122Z
lh-8_code-openai_2a8d95de-71ae-4f08-8ff2-dff96e64fd93,lh-8,code-openai,gpt-6-astra,exec_js,learnhouse,http://127.0.0.1:3215,true,,87.753,14.601,2.980,70.172,13,25,355,814,1815,49139,provider-managed,0.6603025,,provider-response,,false,false,medium,0,0,false,default,none,none,,,2026-09-06T00:03:58.925Z
lh-8_code-openai_31bd94b0-bf6e-4b7f-828c-92fdb74a2754,lh-8,code-openai,gpt-6-astra,exec_js,learnhouse,http://127.0.0.1:3215,true,,92.026,16.235,2.947,72.844,13,25,355,792,6403,42306,provider-managed,0.578378,,provider-response,,false,false,medium,0,0,false,default,none,none,,,2026-09-06T00:05:31.007Z
